,AgeCategory,WeeklyWorkingHours,WorkClass,Education,MaritalStatus,Occupation,Relationship,Race,Sex,NativeCountry
random1262,AgeCat-30-40,HoursCat-30-40,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,United-States
random1263,AgeCat-30-40,HoursCat-90-100,Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
random1264,AgeCat-60-70,HoursCat-50-60,Private,Assoc-voc,Never-married,Machine-op-inspct,Husband,White,Male,United-States
random1265,AgeCat-60-70,HoursCat-40-50,Private,Masters,Never-married,Adm-clerical,Husband,White,Female,United-States
random1266,AgeCat-50-60,HoursCat-10-20,Private,Grade-11th,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Male,United-States
random1267,AgeCat-30-40,HoursCat-40-50,Private,HS-grad,Divorced,Handlers-cleaners,Husband,Black,Male,United-States
random1268,AgeCat-50-60,HoursCat-30-40,Private,Grade-5th-6th,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States
random1269,AgeCat-40-50,HoursCat-40-50,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,Yugoslavia
random1270,AgeCat-30-40,HoursCat-60-70,Private,Bachelors,Never-married,Machine-op-inspct,Husband,White,Female,United-States
random1271,AgeCat-10-20,HoursCat-30-40,Private,Some-college,Divorced,Sales,Own-child,White,Female,United-States
random1272,AgeCat-40-50,HoursCat-30-40,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Own-child,White,Female,Canada
random1273,AgeCat-30-40,HoursCat-30-40,Local-gov,Bachelors,Never-married,Handlers-cleaners,Own-child,Black,Female,United-States
random1274,AgeCat-40-50,HoursCat-30-40,Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Germany
random1275,AgeCat-40-50,HoursCat-40-50,Without-pay,HS-grad,Married-civ-spouse,Craft-repair,Unmarried,White,Female,United-States
random1276,AgeCat-40-50,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,United-States
random1277,AgeCat-20-30,HoursCat-0-10,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,United-States
random1278,AgeCat-40-50,HoursCat-50-60,Private,Some-college,Married-civ-spouse,Exec-managerial,Own-child,White,Male,United-States
random1279,AgeCat-30-40,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States
random1280,AgeCat-30-40,HoursCat-30-40,Private,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Male,United-States
random1281,AgeCat-40-50,HoursCat-30-40,Self-emp-not-inc,Grade-11th,Married-civ-spouse,Sales,Not-in-family,White,Male,United-States
random1282,AgeCat-10-20,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Female,United-States
random1283,AgeCat-20-30,HoursCat-60-70,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Female,United-States
random1284,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,United-States
random1285,AgeCat-60-70,HoursCat-40-50,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Female,Mexico
random1286,AgeCat-20-30,HoursCat-40-50,Private,Some-college,Married-civ-spouse,Craft-repair,Other-relative,White,Female,United-States
random1287,AgeCat-30-40,HoursCat-20-30,Private,HS-grad,Divorced,Craft-repair,Own-child,Other,Male,United-States
random1288,AgeCat-10-20,HoursCat-30-40,State-gov,HS-grad,Separated,Transport-moving,Unmarried,White,Female,United-States
random1289,AgeCat-30-40,HoursCat-30-40,Private,Masters,Married-civ-spouse,Other-service,Husband,White,Male,United-States
random1290,AgeCat-20-30,HoursCat-70-80,Private,Grade-11th,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,United-States
random1291,AgeCat-60-70,HoursCat-50-60,Self-emp-not-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
random1292,AgeCat-50-60,HoursCat-30-40,Private,Masters,Never-married,Adm-clerical,Not-in-family,White,Female,United-States
random1293,AgeCat-30-40,HoursCat-20-30,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States
random1294,AgeCat-10-20,HoursCat-30-40,Private,HS-grad,Never-married,Exec-managerial,Husband,White,Male,United-States
random1295,AgeCat-50-60,HoursCat-10-20,Private,Some-college,Married-civ-spouse,Prof-specialty,Own-child,White,Male,United-States
random1296,AgeCat-40-50,HoursCat-30-40,Private,HS-grad,Divorced,Craft-repair,Own-child,White,Male,United-States
random1297,AgeCat-20-30,HoursCat-40-50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Female,United-States
random1298,AgeCat-70-80,HoursCat-40-50,Private,HS-grad,Married-civ-spouse,Sales,Not-in-family,Black,Male,United-States
random1299,AgeCat-20-30,HoursCat-50-60,Private,Some-college,Never-married,Machine-op-inspct,Unmarried,White,Male,United-States
random1300,AgeCat-50-60,HoursCat-50-60,Private,Grade-9th,Married-civ-spouse,Craft-repair,Husband,White,Female,United-States
random1301,AgeCat-20-30,HoursCat-50-60,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
random1302,AgeCat-30-40,HoursCat-30-40,State-gov,Bachelors,Married-civ-spouse,Farming-fishing,Not-in-family,Black,Male,United-States
random1303,AgeCat-40-50,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
random1304,AgeCat-40-50,HoursCat-40-50,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Female,United-States
random1305,AgeCat-50-60,HoursCat-30-40,Private,Assoc-acdm,Divorced,Adm-clerical,Husband,White,Male,Mexico
random1306,AgeCat-40-50,HoursCat-30-40,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Female,United-States
random1307,AgeCat-20-30,HoursCat-30-40,Private,Prof-school,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,United-States
random1308,AgeCat-50-60,HoursCat-30-40,Private,Some-college,Divorced,Transport-moving,Husband,White,Male,United-States
random1309,AgeCat-40-50,HoursCat-20-30,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Black,Male,United-States
random1310,AgeCat-40-50,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,United-States
random1311,AgeCat-10-20,HoursCat-50-60,Private,Bachelors,Never-married,Farming-fishing,Husband,White,Female,United-States
random1312,AgeCat-30-40,HoursCat-50-60,State-gov,HS-grad,Never-married,Tech-support,Unmarried,White,Female,United-States
random1313,AgeCat-20-30,HoursCat-60-70,Self-emp-not-inc,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Male,United-States
random1314,AgeCat-50-60,HoursCat-30-40,Self-emp-not-inc,Some-college,Never-married,Sales,Unmarried,White,Female,United-States
random1315,AgeCat-40-50,HoursCat-20-30,Private,Prof-school,Never-married,Other-service,Husband,White,Male,United-States
random1316,AgeCat-50-60,HoursCat-30-40,Private,Assoc-voc,Divorced,Adm-clerical,Husband,White,Male,United-States
random1317,AgeCat-60-70,HoursCat-30-40,Private,Grade-9th,Married-civ-spouse,Exec-managerial,Husband,White,Female,United-States
random1318,AgeCat-40-50,HoursCat-30-40,Local-gov,Some-college,Never-married,Exec-managerial,Husband,White,Female,United-States
random1319,AgeCat-70-80,HoursCat-50-60,Self-emp-not-inc,HS-grad,Never-married,Exec-managerial,Own-child,Black,Female,United-States
random1320,AgeCat-40-50,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,United-States
random1321,AgeCat-10-20,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,United-States
random1322,AgeCat-10-20,HoursCat-20-30,Private,Some-college,Never-married,Sales,Husband,White,Male,United-States
random1323,AgeCat-30-40,HoursCat-10-20,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,Husband,White,Male,United-States
random1324,AgeCat-50-60,HoursCat-50-60,Private,Grade-7th-8th,Married-civ-spouse,Protective-serv,Husband,Black,Female,United-States
random1325,AgeCat-50-60,HoursCat-40-50,Self-emp-inc,HS-grad,Married-civ-spouse,Other-service,Not-in-family,White,Male,United-States
random1326,AgeCat-60-70,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States
random1327,AgeCat-10-20,HoursCat-30-40,Local-gov,Grade-11th,Divorced,Transport-moving,Husband,White,Male,United-States
random1328,AgeCat-10-20,HoursCat-60-70,Private,HS-grad,Never-married,Priv-house-serv,Husband,White,Male,United-States
random1329,AgeCat-50-60,HoursCat-30-40,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,United-States
random1330,AgeCat-20-30,HoursCat-30-40,Private,Grade-12th,Married-civ-spouse,Sales,Husband,White,Male,United-States
random1331,AgeCat-30-40,HoursCat-10-20,Self-emp-not-inc,Some-college,Divorced,Prof-specialty,Own-child,White,Male,United-States
random1332,AgeCat-60-70,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
random1333,AgeCat-30-40,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Own-child,White,Female,United-States
random1334,AgeCat-40-50,HoursCat-20-30,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,United-States
random1335,AgeCat-30-40,HoursCat-50-60,Private,Assoc-acdm,Never-married,Adm-clerical,Own-child,White,Male,United-States
random1336,AgeCat-40-50,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Transport-moving,Not-in-family,White,Female,United-States
random1337,AgeCat-30-40,HoursCat-10-20,Private,HS-grad,Never-married,Transport-moving,Husband,White,Female,United-States
random1338,AgeCat-20-30,HoursCat-70-80,Without-pay,HS-grad,Married-civ-spouse,Other-service,Not-in-family,White,Male,United-States
random1339,AgeCat-20-30,HoursCat-50-60,Private,HS-grad,Married-civ-spouse,Other-service,Not-in-family,White,Male,Germany
random1340,AgeCat-20-30,HoursCat-40-50,Private,HS-grad,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,United-States
random1341,AgeCat-30-40,HoursCat-40-50,Private,Bachelors,Married-civ-spouse,Tech-support,Not-in-family,White,Male,United-States
random1342,AgeCat-40-50,HoursCat-30-40,Private,Bachelors,Never-married,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Male,United-States
random1343,AgeCat-60-70,HoursCat-20-30,State-gov,Assoc-voc,Separated,Craft-repair,Husband,White,Male,United-States
random1344,AgeCat-40-50,HoursCat-40-50,Private,Some-college,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,United-States
random1345,AgeCat-40-50,HoursCat-30-40,Private,HS-grad,Never-married,Tech-support,Husband,Black,Female,United-States
random1346,AgeCat-20-30,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Farming-fishing,Unmarried,White,Male,United-States
random1347,AgeCat-30-40,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Sales,Husband,Black,Female,United-States
random1348,AgeCat-30-40,HoursCat-40-50,Self-emp-not-inc,Grade-11th,Never-married,Sales,Other-relative,White,Male,United-States
random1349,AgeCat-40-50,HoursCat-30-40,Private,Grade-11th,Never-married,Sales,Husband,White,Female,United-States
random1350,AgeCat-20-30,HoursCat-20-30,Private,HS-grad,Married-civ-spouse,Exec-managerial,Unmarried,White,Male,United-States
random1351,AgeCat-20-30,HoursCat-30-40,Federal-gov,Bachelors,Married-civ-spouse,Other-service,Not-in-family,White,Male,United-States
random1352,AgeCat-30-40,HoursCat-0-10,State-gov,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,United-States
random1353,AgeCat-40-50,HoursCat-20-30,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,Thailand
random1354,AgeCat-30-40,HoursCat-40-50,Self-emp-not-inc,Grade-12th,Divorced,Farming-fishing,Husband,White,Female,United-States
random1355,AgeCat-20-30,HoursCat-30-40,Self-emp-inc,HS-grad,Divorced,Other-service,Not-in-family,White,Female,United-States
random1356,AgeCat-20-30,HoursCat-30-40,Self-emp-not-inc,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,Philippines
random1357,AgeCat-30-40,HoursCat-60-70,Private,Some-college,Married-civ-spouse,Transport-moving,Own-child,White,Male,United-States
random1358,AgeCat-40-50,HoursCat-40-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Own-child,White,Male,United-States
random1359,AgeCat-40-50,HoursCat-30-40,Local-gov,Some-college,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,United-States
random1360,AgeCat-40-50,HoursCat-30-40,Private,Grade-11th,Never-married,Prof-specialty,Husband,Black,Female,United-States
random1361,AgeCat-40-50,HoursCat-30-40,Private,Grade-11th,Divorced,Protective-serv,Own-child,White,Male,Mexico
random1362,AgeCat-20-30,HoursCat-40-50,Self-emp-inc,HS-grad,Divorced,Craft-repair,Unmarried,White,Female,United-States
random1363,AgeCat-30-40,HoursCat-50-60,Private,HS-grad,Married-civ-spouse,Prof-specialty,Own-child,Black,Male,United-States
random1364,AgeCat-30-40,HoursCat-40-50,Private,Bachelors,Divorced,Machine-op-inspct,Unmarried,White,Male,United-States
random1365,AgeCat-40-50,HoursCat-30-40,Self-emp-inc,Assoc-voc,Divorced,Handlers-cleaners,Unmarried,White,Male,United-States
random1366,AgeCat-60-70,HoursCat-20-30,Self-emp-not-inc,HS-grad,Never-married,Other-service,Unmarried,White,Female,United-States
random1367,AgeCat-20-30,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,United-States
random1368,AgeCat-40-50,HoursCat-40-50,Private,HS-grad,Never-married,Transport-moving,Husband,White,Male,United-States
random1369,AgeCat-40-50,HoursCat-60-70,State-gov,Some-college,Never-married,Craft-repair,Husband,White,Female,United-States
random1370,AgeCat-30-40,HoursCat-50-60,Self-emp-not-inc,HS-grad,Separated,Sales,Husband,White,Male,United-States
random1371,AgeCat-40-50,HoursCat-10-20,Private,Assoc-voc,Married-civ-spouse,Other-service,Wife,White,Male,United-States
random1372,AgeCat-60-70,HoursCat-10-20,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Male,United-States
random1373,AgeCat-10-20,HoursCat-30-40,Private,Grade-10th,Separated,Prof-specialty,Not-in-family,White,Male,United-States
random1374,AgeCat-20-30,HoursCat-20-30,Private,Some-college,Separated,Exec-managerial,Own-child,White,Male,United-States
random1375,AgeCat-40-50,HoursCat-30-40,Private,Some-college,Married-spouse-absent,Craft-repair,Husband,White,Male,United-States
random1376,AgeCat-20-30,HoursCat-0-10,Federal-gov,Bachelors,Never-married,Sales,Husband,Black,Male,United-States
random1377,AgeCat-30-40,HoursCat-40-50,Private,Grade-9th,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States
random1378,AgeCat-20-30,HoursCat-30-40,Local-gov,Some-college,Never-married,Other-service,Husband,White,Male,United-States
random1379,AgeCat-20-30,HoursCat-40-50,Private,Grade-7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
random1380,AgeCat-40-50,HoursCat-30-40,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,Other,Male,United-States
random1381,AgeCat-10-20,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
random1382,AgeCat-50-60,HoursCat-30-40,Self-emp-inc,Masters,Never-married,Transport-moving,Husband,White,Male,United-States
random1383,AgeCat-30-40,HoursCat-20-30,Private,HS-grad,Divorced,Adm-clerical,Husband,Black,Male,United-States
random1384,AgeCat-30-40,HoursCat-30-40,Private,Bachelors,Never-married,Other-service,Unmarried,White,Male,United-States
random1385,AgeCat-30-40,HoursCat-30-40,Private,Grade-1st-4th,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,Jamaica
random1386,AgeCat-40-50,HoursCat-40-50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States
random1387,AgeCat-30-40,HoursCat-10-20,Self-emp-inc,Bachelors,Married-civ-spouse,Craft-repair,Unmarried,Asian-Pac-Islander,Male,United-States
random1388,AgeCat-20-30,HoursCat-30-40,Private,Bachelors,Widowed,Transport-moving,Own-child,White,Female,United-States
random1389,AgeCat-20-30,HoursCat-30-40,Private,Bachelors,Never-married,Adm-clerical,Husband,Other,Male,United-States
random1390,AgeCat-20-30,HoursCat-30-40,Local-gov,Assoc-voc,Never-married,Adm-clerical,Husband,White,Male,United-States
random1391,AgeCat-30-40,HoursCat-30-40,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Female,United-States
random1392,AgeCat-20-30,HoursCat-10-20,Private,Grade-7th-8th,Married-civ-spouse,Other-service,Husband,White,Female,United-States
random1393,AgeCat-60-70,HoursCat-40-50,Local-gov,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,United-States
random1394,AgeCat-60-70,HoursCat-30-40,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,United-States
random1395,AgeCat-40-50,HoursCat-30-40,State-gov,Grade-10th,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,United-States
random1396,AgeCat-40-50,HoursCat-30-40,Private,Grade-9th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
random1397,AgeCat-60-70,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States
random1398,AgeCat-50-60,HoursCat-30-40,Federal-gov,Some-college,Never-married,Protective-serv,Own-child,White,Female,United-States
random1399,AgeCat-40-50,HoursCat-30-40,Private,Assoc-voc,Married-civ-spouse,Other-service,Not-in-family,White,Female,United-States
random1400,AgeCat-20-30,HoursCat-50-60,Self-emp-inc,Grade-7th-8th,Never-married,Sales,Husband,White,Male,United-States
random1401,AgeCat-30-40,HoursCat-30-40,Private,Assoc-acdm,Married-civ-spouse,Priv-house-serv,Not-in-family,Black,Male,United-States
random1402,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Tech-support,Own-child,White,Male,United-States
random1403,AgeCat-30-40,HoursCat-60-70,Private,Doctorate,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,United-States
random1404,AgeCat-70-80,HoursCat-30-40,Self-emp-inc,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Female,United-States
random1405,AgeCat-50-60,HoursCat-50-60,Private,Grade-10th,Never-married,Other-service,Husband,Black,Female,United-States
random1406,AgeCat-20-30,HoursCat-10-20,Private,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,United-States
random1407,AgeCat-10-20,HoursCat-30-40,Private,HS-grad,Never-married,Craft-repair,Other-relative,White,Male,United-States
random1408,AgeCat-50-60,HoursCat-0-10,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States
random1409,AgeCat-30-40,HoursCat-30-40,Private,Masters,Never-married,Adm-clerical,Husband,White,Male,United-States
random1410,AgeCat-20-30,HoursCat-50-60,Private,Some-college,Married-civ-spouse,Exec-managerial,Unmarried,White,Female,United-States
random1411,AgeCat-40-50,HoursCat-30-40,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,United-States
random1412,AgeCat-40-50,HoursCat-30-40,Private,Grade-10th,Married-civ-spouse,Other-service,Not-in-family,White,Female,United-States
random1413,AgeCat-20-30,HoursCat-30-40,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Female,United-States
random1414,AgeCat-20-30,HoursCat-40-50,Private,Prof-school,Never-married,Transport-moving,Own-child,White,Female,United-States
random1415,AgeCat-10-20,HoursCat-30-40,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,United-States
random1416,AgeCat-20-30,HoursCat-30-40,Self-emp-not-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,England
random1417,AgeCat-20-30,HoursCat-10-20,Private,Grade-11th,Never-married,Craft-repair,Unmarried,Amer-Indian-Eskimo,Female,United-States
random1418,AgeCat-20-30,HoursCat-40-50,Private,HS-grad,Married-civ-spouse,Adm-clerical,Own-child,White,Male,United-States
random1419,AgeCat-40-50,HoursCat-30-40,Local-gov,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,Philippines
random1420,AgeCat-10-20,HoursCat-60-70,Self-emp-not-inc,Doctorate,Married-civ-spouse,Other-service,Unmarried,White,Male,United-States
random1421,AgeCat-20-30,HoursCat-40-50,Federal-gov,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,United-States
random1422,AgeCat-20-30,HoursCat-30-40,Self-emp-not-inc,Some-college,Never-married,Exec-managerial,Own-child,White,Male,United-States
random1423,AgeCat-20-30,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Other-service,Not-in-family,White,Male,United-States
random1424,AgeCat-20-30,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
random1425,AgeCat-20-30,HoursCat-30-40,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,Black,Male,United-States
random1426,AgeCat-40-50,HoursCat-30-40,Private,Masters,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,United-States
random1427,AgeCat-80-90,HoursCat-60-70,Private,HS-grad,Married-civ-spouse,Craft-repair,Own-child,White,Male,United-States
random1428,AgeCat-30-40,HoursCat-20-30,Private,Bachelors,Married-civ-spouse,Sales,Not-in-family,White,Male,United-States
random1429,AgeCat-60-70,HoursCat-30-40,Self-emp-not-inc,Grade-7th-8th,Married-civ-spouse,Handlers-cleaners,Unmarried,White,Female,United-States
random1430,AgeCat-30-40,HoursCat-30-40,Self-emp-inc,Bachelors,Never-married,Other-service,Not-in-family,White,Male,Dominican-Republic
random1431,AgeCat-20-30,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Sales,Own-child,White,Male,United-States
random1432,AgeCat-30-40,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Other-service,Not-in-family,White,Male,United-States
random1433,AgeCat-20-30,HoursCat-40-50,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Female,United-States
random1434,AgeCat-30-40,HoursCat-30-40,Private,Masters,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
random1435,AgeCat-40-50,HoursCat-60-70,Private,Grade-7th-8th,Never-married,Transport-moving,Unmarried,Asian-Pac-Islander,Male,United-States
random1436,AgeCat-30-40,HoursCat-20-30,Private,Some-college,Married-civ-spouse,Protective-serv,Unmarried,White,Male,United-States
random1437,AgeCat-50-60,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Farming-fishing,Husband,Black,Male,United-States
random1438,AgeCat-50-60,HoursCat-40-50,Private,Some-college,Married-civ-spouse,Other-service,Unmarried,White,Male,United-States
random1439,AgeCat-40-50,HoursCat-30-40,State-gov,Grade-12th,Widowed,Craft-repair,Not-in-family,White,Male,United-States
random1440,AgeCat-30-40,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,United-States
random1441,AgeCat-20-30,HoursCat-30-40,Private,Bachelors,Never-married,Tech-support,Husband,White,Male,United-States
random1442,AgeCat-30-40,HoursCat-10-20,Private,Bachelors,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,United-States
random1443,AgeCat-40-50,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States
random1444,AgeCat-20-30,HoursCat-20-30,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Own-child,White,Female,United-States
random1445,AgeCat-20-30,HoursCat-40-50,Local-gov,HS-grad,Separated,Craft-repair,Husband,White,Male,United-States
random1446,AgeCat-50-60,HoursCat-30-40,Private,Grade-7th-8th,Never-married,Other-service,Unmarried,White,Male,United-States
random1447,AgeCat-40-50,HoursCat-30-40,Private,Grade-5th-6th,Married-civ-spouse,Craft-repair,Not-in-family,Black,Male,United-States
random1448,AgeCat-40-50,HoursCat-40-50,Private,Bachelors,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,United-States
random1449,AgeCat-40-50,HoursCat-30-40,Private,Some-college,Never-married,Exec-managerial,Husband,White,Male,United-States
random1450,AgeCat-50-60,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Sales,Not-in-family,White,Male,United-States
random1451,AgeCat-30-40,HoursCat-20-30,Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,United-States
random1452,AgeCat-50-60,HoursCat-30-40,Private,Bachelors,Never-married,Sales,Husband,White,Male,United-States
random1453,AgeCat-50-60,HoursCat-30-40,Private,Bachelors,Divorced,Adm-clerical,Own-child,White,Female,Mexico
random1454,AgeCat-20-30,HoursCat-30-40,Local-gov,Assoc-acdm,Divorced,Machine-op-inspct,Unmarried,White,Male,United-States
random1455,AgeCat-40-50,HoursCat-40-50,Federal-gov,HS-grad,Divorced,Protective-serv,Not-in-family,White,Female,United-States
random1456,AgeCat-30-40,HoursCat-30-40,Private,Grade-10th,Never-married,Handlers-cleaners,Husband,White,Male,United-States
random1457,AgeCat-30-40,HoursCat-30-40,Private,Bachelors,Separated,Adm-clerical,Wife,White,Male,United-States
random1458,AgeCat-50-60,HoursCat-10-20,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Female,United-States
random1459,AgeCat-20-30,HoursCat-50-60,Private,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,United-States
random1460,AgeCat-60-70,HoursCat-20-30,Private,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,United-States
random1461,AgeCat-50-60,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
random1462,AgeCat-30-40,HoursCat-60-70,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States
random1463,AgeCat-50-60,HoursCat-50-60,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,Cuba
random1464,AgeCat-40-50,HoursCat-10-20,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,United-States
random1465,AgeCat-40-50,HoursCat-30-40,Private,Assoc-voc,Never-married,Other-service,Husband,White,Female,United-States
random1466,AgeCat-20-30,HoursCat-20-30,Private,Grade-11th,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,United-States
random1467,AgeCat-20-30,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Other-service,Unmarried,White,Male,United-States
random1468,AgeCat-40-50,HoursCat-30-40,Private,Bachelors,Never-married,Exec-managerial,Husband,White,Male,United-States
random1469,AgeCat-50-60,HoursCat-30-40,Private,Masters,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,United-States
random1470,AgeCat-10-20,HoursCat-40-50,Private,Some-college,Never-married,Adm-clerical,Husband,White,Male,United-States
random1471,AgeCat-40-50,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Exec-managerial,Own-child,White,Male,United-States
random1472,AgeCat-30-40,HoursCat-30-40,Federal-gov,Masters,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,United-States
random1473,AgeCat-50-60,HoursCat-30-40,Private,HS-grad,Never-married,Other-service,Husband,Black,Male,United-States
random1474,AgeCat-30-40,HoursCat-30-40,Private,Assoc-acdm,Never-married,Other-service,Unmarried,White,Female,Hong
random1475,AgeCat-30-40,HoursCat-30-40,Private,Grade-1st-4th,Divorced,Protective-serv,Not-in-family,White,Male,United-States
random1476,AgeCat-30-40,HoursCat-30-40,Private,Grade-10th,Widowed,Sales,Husband,White,Male,United-States
random1477,AgeCat-20-30,HoursCat-30-40,Self-emp-inc,Some-college,Never-married,Other-service,Unmarried,White,Female,United-States
